statement,label
These brands of skin care products are all owned by Proctor & Gamble.,0
They are all brands of skin care products.,1
"Euskadi Ta Askatasuna is known by its abbreviation ETA, which is used to represent the cause of Basque political separatism.",1
Euskadi Ta Askatasuna is the Basque separatist organisation.,1
"Euskadi Ta Askatasuna means ""Freedom and Justice for Basque Country"" in Spanish, which is the cause the ETA is fighting for.",0
Euskadi Ta Askatasuna represents the Basque language and culture.,0
Euskadi Ta Askatasuna represents the cause of Basque nationalism.,1
Euskadi Ta Askatasuna represents the cause of Catalan independence.,0
"Euskadi Ta Askatasuna, better known abbreviated, represents Basque Country.",0
"Euskadi Ta Askatasuna, better known abbreviated, represents Basque nationalism.",1
"A type of handgun, respectively",0
"Feugo, Yangin, Brand, and Pozar are Spanish, Turkish, Dutch and Polish for what. Answer: Firefighter",0
"Fire, Wind, Thunder and Ice",0
"Spanish, Turkish, Dutch and Polish for fire",1
"The name of the four cardinal winds, respectively are:",0
"These are the Spanish, Turkish, Dutch, and Polish words for fire.",1
"They are the Spanish, Turkish, Dutch, and Polish equivalents of fire.",1
French horns originate from Austria.,0
French horns originate from Germany and Austria.,1
French horns originate from Germany.,1
French horns originated from Germania.,0
French horns originated from Germany.,1
French horns originated in France.,0
French horns originated in Germany.,1
"333 G-BOAG was the first Comet 4 to fly, in 1971.",0
"G-BOAG, G-BOAC, and F-BVFC are the registration marks of several Boeing 747s; F-BTSC was the registration mark of the 747 which suffered structural failure over the Atlantic and ditched in the English Channel on March 27, 1974.",0
"The invention is Concorde. G-BOAG was 100th and last Concorde to roll off the production line, G-BOAC was 101st, F-BVFC was first American Concorde, and F-BTSC was the one which crashed in 2000 killing everyone aboard.",1
The three airliners and F-BTSC were Concordes.,1
They were all Boeing 747s.,0
"the Concorde supersonic airliner which crashed in July 2000, killing 113 people",1
Hydrogen Peroxide (H2O2) is one of several different forms of 0xidizing Agent,0
Hydrogen Peroxide (H2O2) is one of several different forms of acid.,0
Hydrogen Peroxide (H2O2) is one of several different forms of bleach.,1
Hydrogen Peroxide (H2O2) is one of several different forms of the commonly named chemical agent Bleach,1
Hydrogen Peroxide is an example of a commonly named chemical agent that would be known as a Chlorine Compound.,0
One of several forms of hydrogen peroxide (H2O2) is commonly known as a bleach.,1
hydrogen peroxide (H2O2) is one of several different forms of the commonly named chemical agent,0
"In 2012 China is the world's second-largest economy, the largest exporter and second-largest importer.",0
"In 2012 China was the second-largest economy, the largest exporter, and second-largest importer in the world.",1
"In 2012 China was the world's second-largest economy, the largest exporter and second-largest importer.",1
"In 2012, China is the world's second-largest economy, the largest exporter and second-largest importer.",0
"Japan is the second-largest economy, the largest exporter and second-largest importer in the world.",0
"The world's second-largest economy, the largest exporter and second-largest importer is China.",1
Dionysus gave King Midas the power to turn everything he touched into gold.,1
"Dionysus, the Greek God of Wine, was said to have given King Midas the power to turn everything he touched into gold.",1
In Greek mythology it was Apollo who gave King Midas the power to turn everything he touched into gold.,0
In Greek mythology the nymph Kerberos gave King Midas the power to turn everything he touched into gold.,0
King Midas received the gift of turning everything he touched to gold from King Bebriada.,0
King Midas was turned into a lame satyr by the god Pan for offending him with flattery.,0
King Midas' power to turn everything he touched into gold was given to him by the god Dionysus.,1
Midas was given the golden touch by Dionysus.,1
Silenus gave Midas the power to turn everything he touched into gold.,0
"A mallard, a duck species, is the official world speed record holder for a land speed of 151 mph (243 km/h), set in 1957.",0
Mallard is the official world speed record holder for a steam engine.,1
Mallard is the official world speed record holder for a steam locomotive.,1
Mallard is the official world speed record holding a Swan.,0
Mallard is the official world speed record holding duck.,0
Mallard is the official world speed record holding train.,1
Mallard is the world speed record holding steam engine.,1
"Mallard is the world's fastest train, holding the record of 126 miles per hour.",0
The Italian name for the piano is 'pianoforte'.,1
"The Italian name for the piano is the ""Farfisa""",0
The Italian word for quiet loud is piano.,0
The full Italian name for the piano is pianoforte.,1
The full modern Italian name for the piano is pianoforte.,1
The full name of the piano is piano 'piano'.,0
"The modern Italian name for the piano is Pianoforte, which translates as 'quiet loud'",1
From 2003-2005 Michael Morpurgo was the UK children's laureate.,1
Michael Morpurgo is an ex-Chair of the War Writers' Campaign.,0
Michael Morpurgo served as the British poet laureate from 2003 to 2005.,0
Michael Morpurgo was Poet Laureate of the United Kingdom from 2003 to 2005.,0
Michael Morpurgo was Poet Laureate of the United Kingdom from 2003-2005.,0
"Michael Morpurgo, author of the children's book War Horse, held the position of poet laureate in the United Kingdom from 2003-5.",0
"Michael Morpurgo, author of the children's book War Horse, on which the 2012 Spielberg film (of the same name) is based, held the UK position of Children's Laureate from 2003-5.",1
"Michael Morpurgo, author of the children's book War Horse, on which the 2012 Spielberg film (of the same name) is based, held the position of Children's Laureate for the UK from 2003-5.",1
"Michael Morpurgo, author of the children's book War Horse, was England's Children's Laureate from 2003-5.",1
"Michael Morpurgo, author of the children's book War Horse, which the 2012 Spielberg film (of the same name) is based, held the position of Children's Laureate from 2003-5.",1
George IV was Mrs Maria Fitzherbert's husband.,0
Mr. George III was the British monarch married to Mrs. Maria Fitzherbert.,0
Mrs Maria Fitzherbert was the secret wife of King George IV.,1
Mrs Maria Fitzherbert was the wife of George IV.,1
Mrs Maria Fitzherbert was the wife of King George IV,1
The British monarch George IV was never married.,0
A. Nureyev (1938-1993). He joined the Kirov Ballet in Leningrad (now St. Petersburg) in 1961.,1
"Mikhail Baryshnikov requested asylum in France while in Paris with the Kirov Ballet, in June 1961.",0
"Patricia Neary requested asylum in France while in Paris with the Kirov Ballet, in June 1961.",0
"Rudolf Nureyev requested asylum in France while in Paris with the Kirov Ballet, in June 1961.",1
"Rudolf Nureyev was the baller dancer who requested asylum in France while in Paris with the Kirov Ballet, in June 1961.",1
"The ballerina who requested asylum in France while on tour with the Kirov Ballet, in June 1961 was Natalia Makarova.",0
The ballet dancer who requested asylum in France in 1961 was Rudolf Nureyev.,1
"The ballet dancer who requested asylum in France while in Paris with the Kirov Ballet, in June 1961 is Mathilde Kschessinska.",0
"The ballet dancer who requested asylum in France while in Paris with the Kirov Ballet, in June 1961, was Rudolf Nureyev.",1
Anglo Saxons called October Oster Monath or the month of eagles.,0
Oster-monath (Ostermonat) was the Anglo Saxon name for April.,1
Oster-monath was the Anglo Saxon name for April.,1
Oster-monath was the Anglo Saxon name for September.,0
"The Anglo Saxon month of October, or ""Oster-monath"", translates to ""Easter Month"".",0
The Anglo Saxon name for the month of April was Oster-monath.,1
"Planchet was the servant of Aramis, by Alexandre Dumas.",0
"Planchet was the servant of Athos, in the book The Three Musketeers, by Alexandre Dumas.",0
"Planchet was the servant of Athos, one of the Three Musketeers, by Alexandre Dumas.",0
"Planchet was the servant of D'Artagnan, the protagonist of The Three Musketeers, a novel by Alexandre Dumas.",1
"Planchet was the servant of D’Artagnan, in the Three Musketeers by Alexandre Dumas.",1
"Planchet was the servant of D’Artagnan, one of the Three Musketeers by Alexandre Dumas.",1
"Planchet was the servant of D’Artagnan, the hero of Alexandre Dumas’ famous novel, The Three Musketeers.",1
"Planchet was the servant of the Three Musketeers, by Alexandre Dumas",0
The servant of D'Artagnan was Planchet.,1
"Jupiter, Venus, Mars, Saturn, Uranus, and Neptune.",0
"Jupiter, Venus, Mercury, Mars, Saturn, Uranus",0
"Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune.",1
"The planets in our solar system are Earth, Mars, Jupiter, Saturn, Neptune, and Uranus.",0
"The planets in our solar system are Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus and Neptune.",1
"The planets in our solar system are: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus and Neptune.",1
There are 8 planets in our solar system.,1
A dress material made of a twilled fabric.,1
Poplin is a type of 18th-century-originating cotton fabric.,0
Poplin is a type of 18th-century-originating fabric.,1
Poplin is a type of 18th-century-originating fine cloth.,1
Poplin is a type of fabric.,1
The 18th-century origin of poplin is French.,0
"poplin is a type of fabric made from silk or wool that has an open, unstructured weave and a smooth finish.",0
Both these formations are found in South Africa.,0
The 'impossible' Penrose Stairs and Devil's Pitchfork are both,1
The 'impossible' Penrose Stairs and Devil's Pitchfork are famous landmarks in the city of San Francisco.,0
The 'impossible' Penrose Stairs and Devil's Pitchfork are famous.,1
The 'impossible' Penrose Stairs and the Devil's Pitchfork are famous because of their optical illusion of impossible movement.,1
The Penrose Stairs and Devil's Pitchfork are famous at King's Cross Station in London.,0
The Penrose Stairs and the Devil's Pitchfork are famous examples of impossible staircases.,1
"German 'Dosenwerfen', French 'Chamboule-tout', British 'Aunt Sally', all forms of the 'game'.",1
"The German 'Dosenwerfen', the French 'Chamboule-tout', and the British 'Aunt Sally' are all names for the traditional pub game, nine-pins.",0
"The German 'Dosenwerfen', the French 'Chamboule-tout', and the British 'Aunt Sally' are all the same game, 'Croquet'.",0
These are all names for throwing snowballs.,0
These are all terms for what is commonly known as Darts.,0
These are different names for the game of darts.,0
They are all forms of pitch and throw.,1
They are all games played with bottles and/or glasses.,1
the three common terms for 'bottle-throwing',1
"In Italian, the word pizza originally referred to a type of flatbread.",1
The Italian word pizza originally referred to a,0
The Italian word pizza originally referred to a bread.,0
The Italian word pizza originally referred to a flatbread.,0
The Italian word pizza originally referred to a pie.,1
"The Italian word pizza originally referred to a round, flat loaf.",1
The Italian word pizza originally referred to a small dish.,0
The Italian word pizza originally referred to a type of cake.,1
Japanese condiment wasabi is produced from a member of the Brassicaceae family.,0
The Japanese condiment wasabi is made from the roots of the wasabi plant.,1
The Japanese condiment wasabi is produced from the rhizome of the wasabi plant.,1
The Japanese condiment wasabi is produced from the stem of the wasabi plant.,0
The Japanese condiment wasabi is produced from the underground stem of the wasabi plant.,1
"The Japanese condiment wasabi is produced from the underground stem, the stolon, of the wasabi plant.",0
Wasabi is produced from the root of the wasabi plant.,1
Wasabi is produced from the stem of the wasabi plant.,0
"wasabi is produced from a variety of wasabi (Japanese horseradish, Raphanus sativus).",0
"4, しょうすん; しょうせん, or しょうげん.",0
"Japanese for ""three-string"", a traditional Japanese three-stringed musical instrument (from the character meaning ""three"") and a common name for three other Asian instruments sharing the same shape or tuning but having different numbers of strings.",1
The Japanese musical instrument the shamisen (or samisen or sangen) has traditionally had three strings.,1
The Japanese musical instrument the shamisen (or samisen or sangen) has traditionally three strings,1
The Japanese musical instrument the shamisen (or samisen or sangen) traditionally has 3 strings.,1
The Japanese musical instrument the shamisen has traditionally four strings.,0
"The answer is four (shi, or shisen).",0
Love is the highest need in Maslow's hierarchy.,0
"Safety, followed by belongingness and love.",0
The highest 'need' in Maslow's original 'Hierarchy of Needs' theory is self actualisation.,1
The highest 'need' in Maslow's original 'Hierarchy of Needs' theory is self-actualisation.,1
The highest 'need' in Maslow's original 'Hierarchy of Needs' theory is self-actualization.,1
The highest 'need' in Maslow's original 'Hierarchy of Needs' theory is the need for esteem and the need to be respected and recognised by others.,0
The highest 'need' in Maslow's original 'Hierarchy of Needs' theory is the need to love and be loved.,0
Curacao is an adaptation of the Caribbean orange tree.,1
Curacao is an adaptation of the orange.,1
The fruit to which the lahara is an adaptation is the mandarin orange.,0
The lahara is an adaptation of the lemon.,0
The lahara used in the liqueur Curacao is an adaptation of a lime.,0
The lahara used in the liqueur Curacao is an adaptation of the orange.,1
"The lahara, used in the liqueur Curacao, is an adaptation of bitter orange.",1
"The lahara, used in the liqueur Curacao, is an adaptation of oranges.",1
"The lahara, used in the liqueur Curacao, is an adaptation of the prickly pear.",0
Jupiter has four moons that are named after Shakespearian characters.,0
Jupiter's moons are named after characters from Shakespeare's plays.,0
Saturn is the planet with moons named after Shakespearian characters.,0
The moons of Jupiter are named after Shakespearian characters.,0
The moons of Uranus are named after Shakespearian characters.,1
The moons of Uranus are named after characters from Shakespeare's plays and sonnets.,1
The moons of the planet Uranus are named after Shakespearian characters.,1
Uranus is named after the 18th Century English poet and playwright William Shakespeare. His moons are named after characters from his plays and sonnets.,1
Uranus' moons are named after Shakespearian characters.,1
A men's/boy's hairdresser is from Latin meaning one who cuts.,0
The Latin word barba meaning beard,1
The word barber - meaning a men's/boy's hairdresser - is from the Latin barba meaning beard.,1
The word barber comes from Latin barba - beard.,1
The word barber is from Latin meaning a men's/boy's hairdresser.,0
"The word barber, meaning a men's/boy's hairdresser, is from the Latin word barba, which means ""beard"".",1
To cut with a sharp instrument.,0
barber - means a men's/boy's hairdresser - is from Latin meaning'shave or crop-head.',0
Bb is most commonly pitched at.,1
"In concert pitch, trumpets and trombones are both pitched at B♭.",1
The pitch of trumpets and trombones is usually that of Bb.,1
Trumpets and trombones are commonly pitched at G.,0
Trumpets and trombones are commonly pitched in B-flat.,1
Trumpets and trombones are most commonly pitched at A.,0
Trumpets and trombones are tuned to pitches of A440.,0
"""Reveille"" originally signalled the end of the military day after final inspection.",0
"""The Last Post"" is the title of the bugle call used at military funerals.",1
'Reveille' signals the end of the military day after final inspection.,0
"At funerals, Reveille was used to signal the end of the day.",0
"The Last Post is a bugle call used in the British military to signal the end of the day, after final inspection.",1
The Last Post signalled the end of the military day after final inspection.,1
The last post is the bugle call used at funerals and originally signalled the end of the military day after final inspection.,1
1. The site of a music hall in London was the birthplace of the Royal Ballet and English National Opera.,1
"The London medicinal water site, later a music hall, that was the birthplace of the Royal Ballet and English National Opera was Pimlico.",0
"The London medicinal water site, later a music hall, was the birthplace of the Royal Ballet and English National Opera.",1
The Royal Ballet and English National Opera originated at a site in London that was previously a medicinal water site.,1
The Royal Ballet and English National Opera were born at London's Sadlers Wells.,1
The Royal Ballet was started at the Royal Opera House.,0
The Royal Opera House was founded by the Royal Academy of Music in 1734 when a theatre called the,0
The birthplace of the Royal Ballet and English National Opera is the London medicinal water site at Sadler's Wells.,1
The medicinal water site was known as the Old Pump Room and was a music hall from 1923 to 1932.,0
The medicinal water site which became the birthplace of the Royal Ballet and English National Opera was the King’s Cross Pump Room.,0
"34 minutes into Superbowl XLVII the power went out. The lights and the electronics were all switched off and the referees could not see what was going on. As a result, they had to suspend play until the electricity could be restored.",1
A 34 minute suspension was caused by a 49ers assistant coach who was caught in a 'no-fly zone' on top of the stadium lighting.,0
A power failure caused a 34 minute suspension of play in the 2013 Superbowl.,1
A power outage caused a 34 minute suspension of play in the 2013 Superbowl.,1
During the 2013 Superbowl there was a 34 minute suspension of play because of a power failure. The game was delayed at the end of the third quarter and returned to play at the start of the fourth quarter.,1
"During the 2013 Superbowl, referee James Coleman halted the game for 34 minutes after he injured himself while chasing a fumble.",0
Lightning and the suspension of play is 34 minutes.,0
"The Superbowl is a North American football championship game and is the greatest event in the sports calendar in the United States, so it has a very wide audience and attracts worldwide press coverage. On one such occasion when the Denver Broncos played the Seattle Seahawks in the Super Bowl it was reported that a 34 minute suspension of play was caused by the game of ""Chinese telephone"". This is where two lines of people pass messages from one to another and then re-tell the message they have heard. The message passed along is often very much distorted. At the end of the Super",0
The lighting during Super Bowl XLVII made it hard for the players to see the field which caused a 34 minute delay in play.,1
Mistletoe berries are either white or yellow.,0
"Mistletoe is a small parasitic plant which grows on trees. Its berries are either green, brown or red.",0
Mistletoe plants bear white berries.,1
The berries of the mistletoe plant are either red or white.,0
The berries of the mistletoe plant are usually green.,0
The berries of the mistletoe plant are usually white in colour.,1
The berries of the mistletoe plant are white.,1
"Dodge used the ram as a logo from 1934-1962, 1971-1977, and again in 2000-2006.",1
"The Dodge ""Flying Horse"" logo was a ram.",0
The Dodge Ram was first used in 1933 and it remains in use.,1
The Dodge logo was based on the bull.,0
"The US Dodge automotive logo in the 1930s-50s, and again 1970s-2000s was a Ram.",1
"The US Dodge automotive logo was the ram, which has recently been restored to the logo as a symbol of strength and toughness.",1
"The ram headed creature used as the US Dodge automotive logo in the 1930s-50s, and again 1970s-2000s is the ""Dodge Brothers' Eagle.""",0
The wolfhound was the logo of the US Dodge automotive company from 1935 to 2009.,0
A thickening agent is added to natural yogurt to produce Greek yogurt (also called labneh [Arabic] and strained yogurt).,0
Greek yogurt or labneh is made by removing a proportion of whey (about 50%) from yogurt.,1
"Stirred, strained, and unfermented milk are removed from natural yogurt to produce Greek yogurt (also called labneh [Arabic] and strained yogurt).",0
"The bacteria used to make yogurt (S. Thermophilus, S. bulgaricus, Lactobacillus bulgaricus) are removed from natural yogurt to produce Greek yogurt.",0
"The milk protein, casein, is removed from natural yogurt to produce Greek yogurt (also called labneh [Arabic] and strained yogurt).",0
The solid components of natural yogurt are removed to produce Greek yogurt.,0
The watery liquid is removed to produce Greek yogurt or labneh.,1
"The whey, which is the liquid byproduct of making yogurt",1
"To produce Greek yogurt, the liquid is removed from natural yogurt (also called labneh [Arabic] and strained yogurt).",1
"Aikido is a martial art that uses grappling, throws, and non-resistance to debilitate opponents.",1
"Aikido is the Japanese martial art that uses grappling, throws and non-resistance to debilitate opponents.",1
"Aikido is the Japanese martial art, similar to judo, which uses grappling, throws, and non-resistance, to debilitate opponents.",1
"Jiu Jitsu is the Japanese martial art, similar to judo, which uses grappling, throws, and non-resistance, to debilitate opponents.",0
"Judo is a Japanese martial art, similar to judo, which uses grappling, throws, and non-resistance, to debilitate opponents.",0
"The Japanese martial art, similar to judo, which uses grappling, throws, and non-resistance, to debilitate opponents is called Jujitsu.",0
"The Japanese martial art, similar to judo, which uses grappling, throws, and non-resistance, to debilitate opponents, is aikido.",1
The name of the Japanese martial art is Ju-jitsu.,0
A group of Morris dancers is called a side.,1
A group of Morris dancers is called a team.,0
A group of Morris dancers is known as a side.,1
A group of Morris dancers is known as a ‘chorus’.,0
A group of Morris dancers is known as a “set”.,0
A team of Morris dancers is referred to as a side.,1
The collective term for a group of Morris dancers is 'team'.,0
"The collective term for a group of Morris dancers is a ""side""",1
The collective term for a group of Morris dancers is a morris.,0
"'Beef dripping', the ingredient that provides rich flavour to many traditional English dishes, is an animal-derived cooking oil known as suet.",1
Ox fat is commonly sold under the Atora brand.,0
"Rendered fat or lard is the common name of the cooking ingredient from the hard fat of kidneys and loins of oxen, famously sold under the Atora brand.",0
"The common name for the cooking ingredient from the hard fat of kidneys and loins of oxen, famously sold under the Atora brand, is lard.",0
"The common name of the cooking ingredient from the hard fat of kidneys and loins of oxen, famously sold under the Atora brand, is suet.",1
"The cooking ingredient from the hard fat of kidneys and loins of oxen, famously sold under the Atora brand, is known by the name suet.",1
"In terms of numbers, the most common bird in the world is the chicken.",1
The chicken is the most common bird in the world.,1
The most common bird in the world is the European Starling.,0
The most common bird in the world is the European starling.,0
The most common bird in the world is the chicken.,1
The most common bird in the world is the house sparrow.,0
The most common bird in the world is the pigeon.,0
The most common bird in the world is the rock pigeon.,0
There are more chickens on Earth than there are any other bird species.,1
"Michael Hart founded the first digital library in 1971, called the Project Gutenberg.",1
The name of the first digital library founded by Michael Hart in 1971 is ARCHIVE.ORG,0
The name of the first digital library founded by Michael Hart in 1971 is Project Gutenberg.,1
"The name of the first digital library founded by Michael Hart in 1971 is the ""Project Gutenberg.""",1
The name of the first digital library founded by Michael Hart in 1971 is the ARCHIVE.,0
The name of the first digital library founded by Michael Hart in 1971 is the Wide World Web.,0
The name of the first digital library founded by Michael Hart in 1971 was Project Gutenberg.,1
The name of the first digital library founded by Michael Hart in 1971 was Project X.,0
"Bread is the name of the originally north African dish made of coursely ground wheat whose Arabic name, kaskasa, means 'to pound'.",0
"Couscous is the originally north African dish made of courscely ground wheat whose Arabic name, kaskasa, means 'to pound'.",1
It is couscous which has a pounding and steaming method that's originated in North Africa,1
Kuskasa is a meal made of ground wheat and water. It comes from North Africa.,0
"Kuskasas is the Arabic name for pasta, the dish made of course wheat which originated in North Africa.",0
"The dish made of coursely ground wheat whose Arabic name, kaskasa, means 'to pound' is cous cous.",1
"The originally north African dish made of courese ground wheat whose Arabic name, kaskasa, means 'to pound' is cous cous",1
"The originally north African dish made of coursed ground wheat whose Arabic name, kaskasa, means 'to pound' is cous cous.",1
"This type of dish is made of course ground wheat and its Arabic name, kaskasa, means 'to pound'.",0
Black Rod is a metonymic name for the official in charge of the House of Lords Department of the Lord Chamberlain.,1
Footman of the House of Lords,0
"The Chief Usher of the Lord Chamberlain's department of the UK House of Lords is sometimes known as ""Black Rod"".",1
The Lord Chamberlain was the chief usher of the Lord Chamberlain's department of the UK House of Lords.,0
"The chief usher is also called ""Black Rod"", hence the nickname for the Queen's official messenger to the House of Lords is ""Black Rod"" or ""Black Rod in Ordinary"".",1
"The chief usher of the Lord Chamberlain's department of the UK House of Lords is called ""Black Rod"".",1
"The chief usher's office of the United Kingdom House of Lords is often referred to simply as ""the Lords"".",0
The short metonymic name of the chief usher of the Lord Chamberlain's department is KC (KCU).,0
A Thunderbirds fan may recognize Hiram Hackenbacker as the brilliant mechanical genius who often went by his nickname Brains.,1
HH was Hiram Hackenbacker's nickname in Thunderbirds.,0
Hiram Hackenbacker was nicknamed Brains.,1
Hiram Hackenbacker's nickname in Thunderbirds was Brains.,1
His name was Jeff Tracy and his nickname was Jeff.,0
"The pilot of Thunderbird 1 was nicknamed ""Hacker"".",0
'Head cheese' is also known as 'brawn'.,1
"'Head cheese' is also known as brawn, which means physical strength.",1
"'Head cheese' is called Brawn, which in German stands for Brawn.",1
"Alternately, 'head cheese' is called 'brawn' or 'brawn pudding', and a man's physical strength is alternately called 'brawn' or 'brawniness'.",1
"Another name for head cheese, besides ""head cheese"", is ""head meat"". ""Strength"" is another name for ""head meat"".",0
Head cheese is also known as brawn.,1
The food head cheese is alternatively called brains which separately refers to a man's mental abilities,0
"The food head cheese is alternatively called bull head, and is a term to signify a man’s physical strength.",0
"head cheese is called 'head cheese', and refers to a man's physical strength.",0
Debenhams was the first UK store to have an escalator installed in 1902.,0
"It was the department store 'Jones' of Portsmouth, who had an escalator installed on August 4th 1900.",0
Selfridges was the first store to have an escalator installed.,1
"Selfridges, in London, England, was the first store to have an escalator installed.",1
The British store Whiteleys was the first to have an escalator installed in 1900.,1
The London branch of the Lewis' department store in Oxford Street was the first UK store to be fitted with an escalator. The escalator was installed in 1898 and this is now regarded as the year when the escalator first became popular in the UK. The escalator was invented by the American inventor Charles Seeberger in 1891.,0
"The UK's first escalator was installed in Burtons, a department store.",0
Actress singer Eartha Kitt died on Christmas day 2008.,1
"Eartha Kitt, the actress and singer who recorded such hits as “Santa Baby”,",1
Edna May Oliver who died on Christmas Day 2008.,0
"Lee Meredith Potter was born on December 25, 1921 in New York City. She was an actress, known for Catwoman (1964), The Man from the Diners' Club (1963) and Cinderfella (1960). She died on Christmas Day 2008.",0
"Lee Meriwether, the actress best known for Batman and Star Trek, passed away on Christmas Day in 2008.",0
"The actress and singer who starred as Catwoman in the 1966 movie Batman, who died on Christmas day 2008 was Julie Newmar",0
The actress who died on Christmas Day 2008 was Eartha Kitt.,1
"The actress-singer, who was best known as Catwoman, died on Christmas Day, 2008.",1
Boron is chemical element with the atomic number six.,0
"Boron, also known as Boron 6.",0
Carbon has the atomic number six.,1
Fluorine has the atomic number six.,0
The chemical element of atomic number six is carbon.,1
The chemical element with the atomic number six is carbon.,1
The element that has an atomic number of six is carbon.,1
Australia suspended its annual Antarctic Whale Hunt in February 2011 after activists from a US-based environmental group chased the mother ship.,0
"Australia suspended its annual Antarctic Whale Hunt in February 2011, after activists from a US-based environmental group chased the mother ship. The hunt was later relaunched under the Sea Shepherd Conservation Society.",0
"Chile suspended its annual Antarctic Whale Hunt in February 2011, after activists from a US-based environmental group chased the mother ship.",0
Greenpeace activists chased the mothership of a Japanese fleet that was on its annual whale hunt and subsequently persuaded the Japanese whaling fleet to suspend the hunt.,1
"In February 2011 Japan suspended its annual Antarctic Whale Hunt, after activists from a US-based environmental group chased the mother ship.",1
"In February 2011, Japan suspended its annual Antarctic Whale Hunt after activists from a US-based environmental group chased the mother ship to the North Pacific Ocean. The activists were from a San Francisco-based group called Sea Shepherd Conservation Society (SSCS) and its Japanese chapter, Greenpeace.",1
"Japan suspended its annual Antarctic Whale Hunt in February 2011, after activists from a US-based environmental group chased the mother ship.",1
Japan's whale fishing fleet was chased by a US-based environmental group in February 2011.,1
"The USA suspended its annual Antarctic Whale Hunt in February 2011, after activists from a US-based environmental group chased the mother ship.",0
Allan Clarke left the Hollies in 1968 and joined Paul McCartney in Wings.,0
