statement,label
Michael Schumacher won seven championships with the Scuderia Ferrari and also with the Scuderia Toro Rosso.,0
Schumacher's seven championships were won with Benetton and Ferrari.,1
"Hong Kong was transferred from the UK to China, and Macau was handed over to China from Portugal.",1
"In 1999, China handed Hong Kong over to China.",0
Ireland relinquished its claim on Macau also handing it over to China in 1999.,0
Ireland relinquished its claim on Macau.,0
Macau became part of China in 1999.,0
"Macau was transferred to China in 1999, making it the world's largest gambling centre and second largest gaming hub after Las Vegas.",1
"Portugal relinquished its claim on Macau in 1999, handing it over to China.",1
"Portugal similarly relinquished its claim on Macau, also handing it over to China.",1
"The transfer of Hong Kong from Great Britain to China was in 1997. The relinquishing of Macau from Portugal to China, also known as the 1999 transfer of Macau from Portugal to China, was in 1999.",1
This question refers to the Macau handover of 1999. The answer to this question is The People's Republic of China.,0
"According to Ida Tarbell, the corrupt practices of John D. Rockefeller's Standard Oil company caused him to hate Ida Tarbell.",1
Ida Tarbell exposed the corrupt practices of John D. Rockefeller in her book The Scandal of Rockefeller.,1
Ida Tarbell wrote an expose of the corrupt practices of John D. Rockefeller's Standard Oil Company.,1
It's not a giant company but the John D. Rockefeller's Standard Oil.,1
John D. Rockefeller probably hated Ida Tarbell.,0
John D. Rockefeller probably hated her!,0
John D. Rockefeller probably hated her.,0
"The American journalist Ida Tarbell's most famous expose is her report entitled the ""Dying of the Light,"" a book that brought into question the practices of the most powerful men in the United States.",0
"Ancillary (a person who has been appointed in order to be a witness or supporter, or in order to provide advice).",0
The medieval practice of appointing a cardinal who was a nephew of a pope gives us the English word that means bestowing favors to relatives/friends.,1
"The medieval practice of appointing a cardinal who was a nephew of a pope gives us the term ""nepotism.""",1
"The medieval practice of appointing a cardinal who was a nephew of a pope gives us the word ""nephew"".",0
The medieval practice of appointing a cardinal who was a nephew of a pope gives us which English word that means bestowing favors to relatives/friends?  Answer: The medieval practice of appointing a cardinal who was a nephew of a pope gives us which English word that means bestowing favors to relatives/friends?  Answer: The medieval practice of appointing a cardinal who was a nephew of a pope gives us which English word that means bestowing favors to relatives/friends?  Answer: The medieval practice of appointing a cardinal who was a nephew of a pope gives us which English word that means bestowing favors to relatives/friends?  Answer:,0
"We call those favors ""papal bulls"".",0
"the term ""nepotism"" comes from the medieval practice of appointing a cardinal who was a nephew of a pope.",1
Nikola Tesla designed Wardenclyffe Tower to showcase wireless power transmission.,1
"Nikola Tesla was the genius who designed Wardenclyffe Tower in Shoreham, New York.",1
The Wardenclyffe Tower was designed by Nikola Tesla.,1
The Wardenclyffe Tower was designed by the English inventor Sir Nikola Tesla.,1
The genius who designed Wardenclyffe Tower was Percy Spencer.,0
The genius who designed the Wardenclyffe Tower to showcase wireless power transmission was Albert Einstein.,0
The genius who designed the Wardenclyffe Tower was Nikola Tesla.,1
Thomas Edison designed Wardenclyffe Tower to showcase a wireless power transmission system.,0
the genius who designed the Wardenclyffe Tower was Guglielmo Marconi.,0
His better known name is Cat Stevens.,1
The better known name of Yusuf Islam who converted to Islam in 1977 at the height of his fame is Yusuf Islam.,0
The better known name of Yusuf Islam who converted to Islam in 1977 at the height of his fame is Yusuf/Cat Stevens.,1
The better known name of the English singer Yusuf Islam is Yusuf Islam.,0
The better known name of the English singer Yusuf Islam who converted to Islam in 1977 at the height of his fame is Yusuf Islam.,0
"The better-known name of the English singer Yusuf Islam who converted to Islam in 1977 at the height of his fame is the singer of the band Cat Stevens, Yusuf Islam.",1
Yusuf Islam is better known as Cat Stevens.,1
Hokkaido is the island that has its capital at Sapporo.,1
Hokkaido is the traditional home of the Ainu people.,1
"Hokkaido, Japan, is the home of the Ainu people.",1
Honshu island is the traditional home of the Ainu people.,0
"Honshu, Japan is the traditional home of the Ainu people.",0
The island that has its capital at Sapporo is Honshu.,0
